"id","prioridade","status_execucao","publicacao_live","evidencia_ou_motivo","pendencia_exata","proxima_acao_autorizada"
"EXT-001","P2","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhuma submissão externa foi realizada","Depende de correções publicadas; acesso e verificação de canonical 200","Submeter somente URLs elegíveis após deploy autorizado e separar todos os estados"
"SEC-005","P0","parcial_local_nao_publicado","nao_publicado_nao_verificado","Evento local whatsapp_click usa payload genérico sem página; procedimento; CTA ou texto","Network; DebugView; GA4 live e parecer de privacidade ausentes","Validar sem paciente; aprovar política e só então publicar/configurar"
"DAT-000","P0","parcial_local_nao_publicado","nao_publicado_nao_verificado","Contrato documenta J0/J1/J2/C1; TTLs; descarte de JID; joins; enum; flags; migração separada e rollback; QA local está verde","Contrato não aprovado; linha JID e decisões externas de retenção; privacidade e acesso continuam abertas","Obter aprovação antes de publicar; manter feature/schema desligados e autorizar migração separadamente"
"COM-006","P1","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhuma qualificação profissional nova foi publicada","Diploma; residência; título; CRM e RQE exigem validação documental","Validar documentos e aprovar redação canônica antes de propagar"
"COM-007","P1","planejado","nao_se_aplica","Nenhum bloco comercial novo foi implementado","Dados confirmados e dependência tributária de COM-011 pendentes","Aprovar conteúdo; depois testar bloco curto sem preço de procedimento"
"COM-008","P1","planejado","nao_se_aplica","Taxonomia de CTA não foi alterada neste pacote","Depende do fechamento da atribuição e possível ajuste de bot/WhatsApp","Testar agenda versus dúvida preservando página; código e mensagem"
"COM-009","P1","bloqueado_externo_ou_juridico","nao_inspecionado","Não houve reconciliação analytics/CRM de 28 ou 90 dias","Sessão; CTA; conversa; válido e qualificado dependem de leituras externas","Exportar períodos comparáveis somente leitura; formular teste depois"
"COM-010","P1","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhuma revisão ou edição médica foi feita","Fontes primárias; autoria e revisão médica pendentes","Revisar afirmações e aprovar fontes antes de editar conteúdo"
"COM-011","P1","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhuma promessa fiscal nova foi criada","Redação depende de validação tributária/jurídica","Validar norma oficial e usar linguagem condicional sem prometer benefício"
"COM-012","P2","planejado","nao_se_aplica","Nenhum acordeão ou sumário novo foi implementado","Teste editorial e acessibilidade pendentes","Testar conteúdo secundário sem ocultar riscos ou limites"
"COM-013","P1","bloqueado_externo_ou_juridico","nao_inspecionado","Contrato local define IDs opacos; funil E2E não foi medido","Leituras externas e sonda futura necessárias","Medir perdas por etapa após corrigir contrato e autorizar acessos"
"COM-014","P1","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhum campo regulatório novo foi publicado","Documentos; enquadramento; Codame e jurídico pendentes","Inventariar e validar; publicar somente campos comprovados"
"SEO-004","P1","planejado","nao_se_aplica","Nenhuma fonte editorial única ou data foi alterada neste trabalho","Datas verdadeiras e aprovação editorial não fechadas","Criar fonte única e nunca usar data do deploy como revisão"
"SEO-005","P1","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhum dado GSC autenticado foi exportado","Acesso somente leitura; filtros; fuso e período pendentes","Exportar Page Indexing; Sitemaps; Inspection; Results e CWV com metadados"
"SEO-006","P1","planejado","nao_se_aplica","Nenhum experimento de vídeo/poster foi concluído","Baseline e teste isolado por recurso ausentes","Medir baseline; testar poster; preload e interação sem trocar conteúdo"
"SEO-007","P2","planejado","nao_se_aplica","Nenhuma edição de link interno foi feita","Contexto editorial e âncoras úteis precisam de revisão","Propor links naturais após aprovação textual"
"SEO-008","P2","planejado","nao_se_aplica","Nenhuma transcrição ou VideoObject novo foi criado","Vídeos elegíveis; legenda e metadados verdadeiros não aprovados","Selecionar vídeos; aprovar transcrição e marcar somente páginas elegíveis"
"SEO-009","P2","planejado","nao_se_aplica","Nenhum subset/localização de fonte foi implementado","Baseline; licença e teste por template pendentes","Testar após baseline sem alterar tipografia aprovada"
"SEO-010","P2","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhum log CDN/host foi consultado","Acesso host/CDN e validação IP/rDNS/ranges oficiais necessários","Desenhar observabilidade anonimizada sem query; ID pessoal ou conteúdo"
"AI-004","P2","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhum relatório Bing Webmaster foi exportado","Acesso e período externo pendentes","Exportar somente leitura e separar citação; crawl; tráfego e conversão"
"AI-005","P2","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhum protocolo externo mensal foi executado","Autorização operacional; consultas; localidade e repetições pendentes","Executar protocolo fixo após autorização e não confundir citação com tráfego"
"AI-006","P3","planejado","nao_se_aplica","Recomendação é manter experimento adiado","Baseline canônico ainda ausente","Não criar llms.txt agora; reconsiderar somente após baseline"
"SEC-006","P1","parcial_local_nao_publicado","nao_publicado_nao_verificado","Apps Script local usa pseudônimo HMAC versionado e migração separada com confirmação","Threat model; rotação; aliases protegidos e estado externo não verificados","Aprovar threat model; configurar segredo e migrar somente em pacote autorizado"
"CAL-001","P0","parcial_local_nao_publicado","nao_publicado_nao_verificado","Código local exige Opportunity ID opaco e campos válidos; cancelamento/falta/remoto só limpam após deleção confirmada; troca de Calendar remove o anterior antes de criar o novo e falha fechada","Reconciliação real; cobertura; sala/equipe e comportamento do alvo canônico não foram verificados","Validar alvo e Calendar após autorização; executar dry-run e reportar N/D onde faltar vínculo"
"SLA-001","P1","parcial_local_nao_publicado","nao_publicado_nao_verificado","Denominador local inclui inbound elegível com rota pendente; rejeita datas/respostas inválidas; zero denominador vira N/D; gates exigem SLA 95%; rota 99% e zero P0/P1 vencido","Dados live; cobertura histórica e fonte runtime verificada para P0/P1 vencidos continuam ausentes; gate composto é N/D","Publicar somente após autorização; medir no alvo e manter gate fechado até os três componentes terem evidência"
"GAD-001","P0","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhuma configuração Google Ads foi lida ou alterada","Ação principal/secundária; goals da campanha e recibos exigem acesso","Inspecionar somente leitura; não mudar lances até recibos e sete dias sem alerta"
"STR-001","P1","planejado","nao_se_aplica","Norte e histórico não foram alterados neste trabalho","Depende da reconciliação CAL-001 e de evidência suficiente","Após reconciliação; registrar fato; limitação e hipótese sem causalidade indevida"
"OPS-001","P0","parcial_local_nao_publicado","nao_publicado_nao_verificado","Suíte integral 651/651; gate e build 44/44; artefato local com 173 arquivos e zero auditoria; diff check limpo","Não há commit intencional; hash publicado; deploy; smoke live; segredo ou alvo Apps Script verificados","Revisar diff final; criar commit aprovado e publicar default-off somente após autorização explícita"
"OBS-001","P2","parcial_local_nao_publicado","nao_publicado_nao_verificado","Plano de mensuração existe e lembretes condicionais foram agendados para publicação e revisões de 7; 28 e 90 dias","Nenhuma janela começa antes da publicação real; baseline operacional novo e coleta live ainda não existem","No dia da publicação registrar versão e baseline; se a data mudar reschedule; observar diário e revisar 7/28/90 dias com N/D explícito"
