"id","fase","pacote","prioridade","acao","objetivo","problema","evidencia","arquivo_funcao_url_aba","mudanca_exata","arquivos_previstos","dependencias","ordem","impacto_textual","impacto_schema","impacto_atribuicao","acao_externa","modelo_recomendado","esforco_raciocinio","ultra","revisor","justificativa_inteligencia","esforco_humano","risco","confianca","impacto_esperado","metrica","guardrail","teste_anterior","teste_posterior","duracao_minima","regra_manter","regra_reverter","rollback","documentacao"
"ATR-006","4","C/G","P0","corrigir","Cobrir hierarquia Meta e reduzir fallback.","Mapa Meta é parcial e IDs live podem chegar sem campanha; o gate M26F02S depende do catálogo mínimo.","Há mapa hard-coded com poucos anúncios; um evento recente foi classificado como meta_ad_id_without_campaign_mapping.","META_AD_REFERENCES; parâmetros dos anúncios Meta","Definir códigos estáveis por campanha/conjunto/anúncio/criativo na Meta; sincronizar catálogo versionado; alertar ID desconhecido sem inferir campanha.","META_AD_REFERENCES; parâmetros dos anúncios Meta","inventário live; ATR-003","11","visível=não; não visível=não","sim","sim","sim — parâmetros Meta após autorização","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","médio","Mudança simultânea de anúncios contamina série ou quebra mensagem.","alta","Cobrir hierarquia Meta e reduzir fallback.","cobertura de origem/caminho/dimensões e divergência LEADS/CRM","ID desconhecido nunca recebe campanha inventada","congelar baseline; fixture por objeto Meta; ID novo/desativado; sonda direta e site","fixture por objeto Meta; ID novo/desativado; sonda direta e site","até passar; depois 7–14 dias de estabilidade","100% objetos ativos na sonda; depois cobertura consentida Meta Site ≥80% e duplicidade <2%","qualquer falso mapeamento ou queda de entrega","restaurar parâmetros anteriores e manter evento em quarentena","catálogo M26 e histórico estratégico"
"ATR-007","6","D","P1","corrigir","Mensurar canais sem converter ausência de referrer em direto.","Taxonomia agrega orgânico, conteúdo, IA e acesso direto e não separa origem técnica de origem informada.","Plataformas atuais são Google, Meta, Orgânico/Conteúdo, WhatsApp direto e Não identificada.","LEADS; CRM; classificador de plataforma","Adicionar enum canônico para Google/Bing orgânico, ChatGPT, Copilot, Perplexity, Gemini, Instagram orgânico, indicação, retorno, direto, informada e desconhecida; exigir evidência/confiança.","LEADS; CRM; classificador de plataforma","ATR-002/003; contrato de dados","12","visível=não; não visível=não","sim","sim","não","Sol — extra-alto para arquitetura; Sol/Terra — alto para implementação delimitada","alto a extra-alto","sim","Sol — extra-alto","integração de várias camadas pode perder dados silenciosamente","médio","Regras frágeis de referrer podem superatribuir IA ou direto.","alta","Mensurar canais sem converter ausência de referrer em direto.","cobertura de origem/caminho/dimensões e divergência LEADS/CRM","sem evidência = desconhecido; origem informada separada","congelar baseline; cenários 13–17 e 25; tabela de precedência","cenários 13–17 e 25; tabela de precedência","14 dias ou amostra mínima do plano","≥95% dos sinais reconhecidos classificados sem falso positivo","qualquer classificação de IA sem evidência","desativar regra específica e manter raw signal protegido","dicionário de origem e dashboards"
"ATR-008","2/4","C","P1","corrigir","Distinguir perda técnica de origem desconhecida legítima.","Fallbacks recentes têm cobertura parcial e não há observabilidade histórica suficiente.","689 eventos no recorte; novos campos J:M só em 16, dos quais houve código Meta e ad ID sem mapa.","ycloud-webhook.mjs; _WHATSAPP_EVENTOS","Padronizar categorias/motivos, timestamps e correlation ID; tornar idempotente; criar alerta agregado; não retropreencher eventos ambíguos.","ycloud-webhook.mjs; _WHATSAPP_EVENTOS","SEC-002; ATR-006","13","visível=não; não visível=não","sim","sim","não","Sol — extra-alto para arquitetura; Sol/Terra — alto para implementação delimitada","alto a extra-alto","sim","Sol — extra-alto","integração de várias camadas pode perder dados silenciosamente","médio","Alertas ruidosos ou backfill inventado.","alta","Distinguir perda técnica de origem desconhecida legítima.","cobertura de origem/caminho/dimensões e divergência LEADS/CRM","sem PII; um evento lógico por provider event","congelar baseline; webhook duplicado, código inválido, mapa ausente e sem parâmetros","webhook duplicado, código inválido, mapa ausente e sem parâmetros","14 dias ou amostra mínima do plano","≥95% novos eventos com categoria/motivo e duplicidade <1%","falso positivo, duplicidade ou exposição","desligar alerta/projeção nova mantendo ledger bruto protegido","catálogo de eventos e monitoramento"
"ATR-009","4/6","C/D","P1","corrigir","Continuidade histórica e atribuição por campanha.","Códigos canônicos, variações de caixa e aliases legados convivem sem semântica uniforme.","Snapshot contém M26, G26 e LF01/BF01/LC01/LPP01/WHATSAPP; alguns Google não usam código canônico.","parsers; Norte; LEADS/CRM","Criar registro versionado de G26/M26 e aliases; guardar valor original e resolvido; normalizar caixa; nunca backfill sem correspondência determinística.","parsers; Norte; LEADS/CRM","Norte; inventários Ads","14","visível=não; não visível=não","sim","sim","sim — parâmetros externos futuros","Sol — extra-alto para arquitetura; Sol/Terra — alto para implementação delimitada","alto a extra-alto","sim","Sol — extra-alto","integração de várias camadas pode perder dados silenciosamente","médio","Alias errado pode canibalizar campanhas ou reescrever histórico.","alta","Continuidade histórica e atribuição por campanha.","cobertura de origem/caminho/dimensões e divergência LEADS/CRM","original imutável; ambíguo=N/D","congelar baseline; fixtures de todos os códigos; desconhecido/ambíguo","fixtures de todos os códigos; desconhecido/ambíguo","14 dias ou amostra mínima do plano","100% ativos canônicos e legados legíveis","qualquer colisão ou falsa resolução","desativar resolução do alias problemático","Norte e registro de códigos"
"DAT-001","2/5","A/D/G","P0","corrigir","Tornar o sinal qualificado auditável antes de lances/escala.","Eventos offline têm apenas estado ready e não há recibo por linha.","5 eventos preparados; enviado, aceito, rejeitado, duplicado e atribuído são N/D.","_GOOGLE_ADS_EVENTOS; Data Manager","Persistir job/receipt/status/timestamp/erro e separar todos os estados; reconciliar com Google; manter ação canônica exata.","_GOOGLE_ADS_EVENTOS; Data Manager","SEC-001; acesso Google","15","visível=não; não visível=não","sim","sim","sim — Google Data Manager","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","alto","Polling/API incorretos podem marcar aceite falso ou duplicar envio.","alta","Tornar o sinal qualificado auditável antes de lances/escala.","cobertura de schema/estado e divergência fonte-ledger-LEADS-CRM","prepared nunca conta como accepted; zero PII/duplicidade","congelar baseline; job sintético; rejeição; duplicidade; timeout; reconciliação","job sintético; rejeição; duplicidade; timeout; reconciliação","até passar; depois 7–14 dias de estabilidade","100% dos eventos elegíveis atuais reconciliados e sete dias sem alerta","qualquer evento N/D, diagnóstico piora, PII ou duplicidade","parar worker e manter último estado confirmado","runbook offline e Norte"
"DAT-002","6","D","P2","corrigir","Reduzir edição no lugar errado e fórmula frágil.","Schema live contém cabeçalhos placeholder e duplicidade nominal.","Há Column 37–40/54/55 e Encerrado em duplicado no snapshot.","Google Ads - Conversões; _CRM_OPORTUNIDADES","Mapear consumidores; versionar schema; remover/renomear apenas via migração em cópia; validação de enum; não depender da posição fixa.","Google Ads - Conversões; _CRM_OPORTUNIDADES","contrato de dados; testes de schema; backup","16","visível=não; não visível=não","sim","não","não","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","médio","Referências por índice podem quebrar silenciosamente.","alta","Reduzir edição no lugar errado e fórmula frágil.","cobertura de schema/estado e divergência fonte-ledger-LEADS-CRM","nenhuma perda de coluna/valor; primeira aba canônica preservada","congelar baseline; migração dry-run; fórmulas; APIs por header","migração dry-run; fórmulas; APIs por header","14 dias ou amostra mínima do plano","zero header duplicado/placeholder e 100% consumidores verdes","qualquer fórmula/API quebrada","restaurar snapshot/schema anterior","dicionário e README Apps Script"
"DAT-003","6","D","P1","corrigir","LEADS e CRM coerentes e semanticamente corretos.","Projeções podem divergir semanticamente porque a aba usa prioridade de plataforma e o CRM congela apenas origem inicial.","Código dá prioridade Google>Meta>Orgânico>WhatsApp; não há last touch/path rico.","Code.gs mergeLeadIntoExistingRow_; CRM projection","Projetar ambos a partir do ledger canônico; impedir overwrites de first touch; usar transação/idempotência e versão.","Code.gs mergeLeadIntoExistingRow_; CRM projection","ATR-002; locks; backup","17","visível=não; não visível=não","sim","sim","não","Sol — extra-alto para arquitetura; Sol/Terra — alto para implementação delimitada","alto a extra-alto","sim","Sol — extra-alto","integração de várias camadas pode perder dados silenciosamente","alto","Migração concorrente pode sobrescrever correção humana.","alta","LEADS e CRM coerentes e semanticamente corretos.","cobertura de schema/estado e divergência fonte-ledger-LEADS-CRM","first touch imutável; override humano preservado","congelar baseline; concorrência, replay e mudança de plataforma","concorrência, replay e mudança de plataforma","14 dias ou amostra mínima do plano","0 divergência nova em 14 dias","qualquer regressão de fase/origem","voltar à projeção anterior sobre ledger preservado","contrato de projeção"
"DAT-004","6","D","P2","testar","Aumentar cobertura sem falsificar história.","Instrumentação nova não cobre o histórico e o backfill pode inventar origens.","Somente 16 eventos têm os novos campos; aliases e referências antigas são ambíguos.","histórico LEADS/CRM/ledgers","Backfill apenas por chaves determinísticas; guardar método/confiança/data; enviar ambíguos à revisão ou N/D.","histórico LEADS/CRM/ledgers","DAT-003; registro de aliases","18","visível=não; não visível=não","sim","sim","não","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","médio-alto","Ligação errada altera decisões e privacidade.","alta","Aumentar cobertura sem falsificar história.","cobertura de schema/estado e divergência fonte-ledger-LEADS-CRM","zero match fuzzy por nome/telefone/texto","congelar baseline; dry-run com contagem por regra; amostra anonimizável; reversão","dry-run com contagem por regra; amostra anonimizável; reversão","14 dias ou amostra mínima do plano","100% dos aplicados têm regra determinística","contestação ou taxa de conflito >0","reverter projeções do backfill pelo ledger de migração","runbook de backfill"
"DAT-005","6","D","P2","testar","Operar por qualidade de dados e resultados downstream.","Painéis ainda não medem first/last/path, confiança e estados offline completos.","Taxonomia atual é agregada; recebimento externo é N/D.","Painel Econômico; Funil; Saúde das Integrações","Adicionar cobertura de origem/campanha/caminho, fallback, divergência, duplicidade e prepared→accepted somente após schema estável.","Painel Econômico; Funil; Saúde das Integrações","ATR/DAT anteriores","19","visível=não; não visível=não","sim","sim","não","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","médio","Dashboard pode parecer preciso antes de fechar denominadores.","alta","Operar por qualidade de dados e resultados downstream.","cobertura de schema/estado e divergência fonte-ledger-LEADS-CRM","N/D explícito; nenhuma soma de eventos diferentes","congelar baseline; reconciliação por Opportunity ID; contagens manuais de controle","reconciliação por Opportunity ID; contagens manuais de controle","14 dias ou amostra mínima do plano","diferença <2% e definição aprovada","qualquer número sem fonte/denominador","ocultar painel novo se não reconciliar","dicionário de métricas"
"SEO-001","3/8","B/G","P1","corrigir","Consolidar sinais no domínio .com.br e reduzir conflito de entidade.","Resultado antigo do domínio .com ainda aparece na busca e pode competir com a entidade atual.","Busca pública encontrou resultado Wix; host não resolveu na coleta, então disponibilidade live é N/D.","domínio Wix antigo; DNS; Search Console; redirects","Confirmar propriedade/DNS/URLs/indexação; mapear equivalentes; aplicar 301/canonical/remoção apenas conforme o estado real e monitorar recrawl.","domínio Wix antigo; DNS; Search Console; redirects","acesso ao domínio; inventário completo","20","visível=possível — snippets podem mudar por consequência; não visível=não","não","não","sim — Wix/DNS/Search Console","Sol — alto para decisão; Terra — alto para implementação","alto","não, salvo conflito","Sol — alto","decisão relevante com escopo delimitável","alto","Desligar/redirect errado pode perder URLs ou propriedade.","alta para resultado; média para impacto","Consolidar sinais no domínio .com.br e reduzir conflito de entidade.","URLs válidas/indexadas ou métrica técnica específica (datas, LCP/INP/CLS, bytes, inlinks)","nenhuma URL útil perdida; sem cadeia/loop","congelar baseline; HTTP/DNS por URL; redirects; canonical escolhido; busca 28/90d","HTTP/DNS por URL; redirects; canonical escolhido; busca 28/90d","28 dias inicial; 90 dias para tendência","índice converge sem perda de tráfego válido","4xx inesperado, loop ou queda não explicada","restaurar DNS/rota anterior a partir do mapa","plano de migração de domínio"
"SEO-002","3","B","P1","corrigir","Prevenir páginas órfãs, 404 e canonical incorreto.","Inventário de URL, sitemap e rotas podem divergir manualmente no futuro.","Auditoria precisou reconciliar sitemap, links, repo, campanhas e busca; geração/validação automática completa é limitada.","sitemap.xml; rotas; links; redirects; CI","Gerar inventário em CI; validar 200/canonical/robots/H1/sitemap/orfandade/redirect; bloquear deploy em regressão crítica.","sitemap.xml; rotas; links; redirects; CI","inventário 01; regras de exceção","21","visível=não; não visível=não","não","não","não","Sol — alto para decisão; Terra — alto para implementação","alto","não, salvo conflito","Sol — alto","decisão relevante com escopo delimitável","médio","Teste rígido pode bloquear deploy legítimo com rota dinâmica.","média-alta","Prevenir páginas órfãs, 404 e canonical incorreto.","URLs válidas/indexadas ou métrica técnica específica (datas, LCP/INP/CLS, bytes, inlinks)","sem false positive silencioso; exceções versionadas","congelar baseline; fixture de URL válida/404/redirect/noindex; crawl pós-build","fixture de URL válida/404/redirect/noindex; crawl pós-build","28 dias inicial; 90 dias para tendência","100% URLs esperadas cobertas","bloqueio incorreto repetido ou rota pública perdida","desabilitar regra defeituosa sem remover checks críticos","runbook SEO/CI"
