"id","prioridade","trilha","tipo","fase","pacote","arquivo_funcao_url_aba","problema","evidencia","mudanca_exata","altera_texto_visivel","altera_texto_nao_visivel","altera_schema","altera_atribuicao","altera_planilha","exige_acao_externa","impacto_esperado","confianca","esforco","risco","dependencias","teste","guardrail","rollback","regra_manter","regra_reverter","documentacao"
"ATR-006","P0","T3/T6","corrigir","4","C/G","META_AD_REFERENCES; parâmetros dos anúncios Meta","Mapa Meta é parcial e IDs live podem chegar sem campanha; o gate M26F02S depende do catálogo mínimo.","Há mapa hard-coded com poucos anúncios; um evento recente foi classificado como meta_ad_id_without_campaign_mapping.","Definir códigos estáveis por campanha/conjunto/anúncio/criativo na Meta; sincronizar catálogo versionado; alertar ID desconhecido sem inferir campanha.","não","não","sim","sim","não","sim — parâmetros Meta após autorização","Cobrir hierarquia Meta e reduzir fallback.","alta","médio","Mudança simultânea de anúncios contamina série ou quebra mensagem.","inventário live; ATR-003","fixture por objeto Meta; ID novo/desativado; sonda direta e site","ID desconhecido nunca recebe campanha inventada","restaurar parâmetros anteriores e manter evento em quarentena","100% objetos ativos na sonda; depois cobertura consentida Meta Site ≥80% e duplicidade <2%","qualquer falso mapeamento ou queda de entrega","catálogo M26 e histórico estratégico"
"ATR-007","P1","T4","corrigir","6","D","LEADS; CRM; classificador de plataforma","Taxonomia agrega orgânico, conteúdo, IA e acesso direto e não separa origem técnica de origem informada.","Plataformas atuais são Google, Meta, Orgânico/Conteúdo, WhatsApp direto e Não identificada.","Adicionar enum canônico para Google/Bing orgânico, ChatGPT, Copilot, Perplexity, Gemini, Instagram orgânico, indicação, retorno, direto, informada e desconhecida; exigir evidência/confiança.","não","não","sim","sim","sim","não","Mensurar canais sem converter ausência de referrer em direto.","alta","médio","Regras frágeis de referrer podem superatribuir IA ou direto.","ATR-002/003; contrato de dados","cenários 13–17 e 25; tabela de precedência","sem evidência = desconhecido; origem informada separada","desativar regra específica e manter raw signal protegido","≥95% dos sinais reconhecidos classificados sem falso positivo","qualquer classificação de IA sem evidência","dicionário de origem e dashboards"
"ATR-008","P1","T3","corrigir","2/4","C","ycloud-webhook.mjs; _WHATSAPP_EVENTOS","Fallbacks recentes têm cobertura parcial e não há observabilidade histórica suficiente.","689 eventos no recorte; novos campos J:M só em 16, dos quais houve código Meta e ad ID sem mapa.","Padronizar categorias/motivos, timestamps e correlation ID; tornar idempotente; criar alerta agregado; não retropreencher eventos ambíguos.","não","não","sim","sim","sim","não","Distinguir perda técnica de origem desconhecida legítima.","alta","médio","Alertas ruidosos ou backfill inventado.","SEC-002; ATR-006","webhook duplicado, código inválido, mapa ausente e sem parâmetros","sem PII; um evento lógico por provider event","desligar alerta/projeção nova mantendo ledger bruto protegido","≥95% novos eventos com categoria/motivo e duplicidade <1%","falso positivo, duplicidade ou exposição","catálogo de eventos e monitoramento"
"ATR-009","P1","T3/T4","corrigir","4/6","C/D","parsers; Norte; LEADS/CRM","Códigos canônicos, variações de caixa e aliases legados convivem sem semântica uniforme.","Snapshot contém M26, G26 e LF01/BF01/LC01/LPP01/WHATSAPP; alguns Google não usam código canônico.","Criar registro versionado de G26/M26 e aliases; guardar valor original e resolvido; normalizar caixa; nunca backfill sem correspondência determinística.","não","não","sim","sim","sim","sim — parâmetros externos futuros","Continuidade histórica e atribuição por campanha.","alta","médio","Alias errado pode canibalizar campanhas ou reescrever histórico.","Norte; inventários Ads","fixtures de todos os códigos; desconhecido/ambíguo","original imutável; ambíguo=N/D","desativar resolução do alias problemático","100% ativos canônicos e legados legíveis","qualquer colisão ou falsa resolução","Norte e registro de códigos"
"DAT-001","P0","T4/T6","corrigir","2/5","A/D/G","_GOOGLE_ADS_EVENTOS; Data Manager","Eventos offline têm apenas estado ready e não há recibo por linha.","5 eventos preparados; enviado, aceito, rejeitado, duplicado e atribuído são N/D.","Persistir job/receipt/status/timestamp/erro e separar todos os estados; reconciliar com Google; manter ação canônica exata.","não","não","sim","sim","sim","sim — Google Data Manager","Tornar o sinal qualificado auditável antes de lances/escala.","alta","alto","Polling/API incorretos podem marcar aceite falso ou duplicar envio.","SEC-001; acesso Google","job sintético; rejeição; duplicidade; timeout; reconciliação","prepared nunca conta como accepted; zero PII/duplicidade","parar worker e manter último estado confirmado","100% dos eventos elegíveis atuais reconciliados e sete dias sem alerta","qualquer evento N/D, diagnóstico piora, PII ou duplicidade","runbook offline e Norte"
"DAT-002","P2","T4","corrigir","6","D","Google Ads - Conversões; _CRM_OPORTUNIDADES","Schema live contém cabeçalhos placeholder e duplicidade nominal.","Há Column 37–40/54/55 e Encerrado em duplicado no snapshot.","Mapear consumidores; versionar schema; remover/renomear apenas via migração em cópia; validação de enum; não depender da posição fixa.","não","não","sim","não","sim","não","Reduzir edição no lugar errado e fórmula frágil.","alta","médio","Referências por índice podem quebrar silenciosamente.","contrato de dados; testes de schema; backup","migração dry-run; fórmulas; APIs por header","nenhuma perda de coluna/valor; primeira aba canônica preservada","restaurar snapshot/schema anterior","zero header duplicado/placeholder e 100% consumidores verdes","qualquer fórmula/API quebrada","dicionário e README Apps Script"
"DAT-003","P1","T4","corrigir","6","D","Code.gs mergeLeadIntoExistingRow_; CRM projection","Projeções podem divergir semanticamente porque a aba usa prioridade de plataforma e o CRM congela apenas origem inicial.","Código dá prioridade Google>Meta>Orgânico>WhatsApp; não há last touch/path rico.","Projetar ambos a partir do ledger canônico; impedir overwrites de first touch; usar transação/idempotência e versão.","não","não","sim","sim","sim","não","LEADS e CRM coerentes e semanticamente corretos.","alta","alto","Migração concorrente pode sobrescrever correção humana.","ATR-002; locks; backup","concorrência, replay e mudança de plataforma","first touch imutável; override humano preservado","voltar à projeção anterior sobre ledger preservado","0 divergência nova em 14 dias","qualquer regressão de fase/origem","contrato de projeção"
"DAT-004","P2","T4","testar","6","D","histórico LEADS/CRM/ledgers","Instrumentação nova não cobre o histórico e o backfill pode inventar origens.","Somente 16 eventos têm os novos campos; aliases e referências antigas são ambíguos.","Backfill apenas por chaves determinísticas; guardar método/confiança/data; enviar ambíguos à revisão ou N/D.","não","não","sim","sim","sim","não","Aumentar cobertura sem falsificar história.","alta","médio-alto","Ligação errada altera decisões e privacidade.","DAT-003; registro de aliases","dry-run com contagem por regra; amostra anonimizável; reversão","zero match fuzzy por nome/telefone/texto","reverter projeções do backfill pelo ledger de migração","100% dos aplicados têm regra determinística","contestação ou taxa de conflito >0","runbook de backfill"
"DAT-005","P2","T4/T7","testar","6","D","Painel Econômico; Funil; Saúde das Integrações","Painéis ainda não medem first/last/path, confiança e estados offline completos.","Taxonomia atual é agregada; recebimento externo é N/D.","Adicionar cobertura de origem/campanha/caminho, fallback, divergência, duplicidade e prepared→accepted somente após schema estável.","não","não","sim","sim","sim","não","Operar por qualidade de dados e resultados downstream.","alta","médio","Dashboard pode parecer preciso antes de fechar denominadores.","ATR/DAT anteriores","reconciliação por Opportunity ID; contagens manuais de controle","N/D explícito; nenhuma soma de eventos diferentes","ocultar painel novo se não reconciliar","diferença <2% e definição aprovada","qualquer número sem fonte/denominador","dicionário de métricas"
"SEO-001","P1","T1/T2/T6","corrigir","3/8","B/G","domínio Wix antigo; DNS; Search Console; redirects","Resultado antigo do domínio .com ainda aparece na busca e pode competir com a entidade atual.","Busca pública encontrou resultado Wix; host não resolveu na coleta, então disponibilidade live é N/D.","Confirmar propriedade/DNS/URLs/indexação; mapear equivalentes; aplicar 301/canonical/remoção apenas conforme o estado real e monitorar recrawl.","possível — snippets podem mudar por consequência","não","não","não","não","sim — Wix/DNS/Search Console","Consolidar sinais no domínio .com.br e reduzir conflito de entidade.","alta para resultado; média para impacto","alto","Desligar/redirect errado pode perder URLs ou propriedade.","acesso ao domínio; inventário completo","HTTP/DNS por URL; redirects; canonical escolhido; busca 28/90d","nenhuma URL útil perdida; sem cadeia/loop","restaurar DNS/rota anterior a partir do mapa","índice converge sem perda de tráfego válido","4xx inesperado, loop ou queda não explicada","plano de migração de domínio"
"SEO-002","P1","T1","corrigir","3","B","sitemap.xml; rotas; links; redirects; CI","Inventário de URL, sitemap e rotas podem divergir manualmente no futuro.","Auditoria precisou reconciliar sitemap, links, repo, campanhas e busca; geração/validação automática completa é limitada.","Gerar inventário em CI; validar 200/canonical/robots/H1/sitemap/orfandade/redirect; bloquear deploy em regressão crítica.","não","não","não","não","não","não","Prevenir páginas órfãs, 404 e canonical incorreto.","média-alta","médio","Teste rígido pode bloquear deploy legítimo com rota dinâmica.","inventário 01; regras de exceção","fixture de URL válida/404/redirect/noindex; crawl pós-build","sem false positive silencioso; exceções versionadas","desabilitar regra defeituosa sem remover checks críticos","100% URLs esperadas cobertas","bloqueio incorreto repetido ou rota pública perdida","runbook SEO/CI"
"SEO-003","P2","T1","testar","3","B","imagens; vídeos; fontes; CSS/JS; páginas prioritárias","TTFB/HTML rápido não prova boa experiência; recursos pesados e CWV de campo precisam de medição.","Inventário identifica recursos grandes; dados de campo completos por URL são N/D.","Capturar Lighthouse/WebPageTest e CrUX; otimizar compressão, dimensões, preload/lazy-load e cache sem mudar imagem/vídeo/texto; uma classe de recurso por teste.","não","não","não","não","não","não","Melhorar LCP/INP/CLS e conversão mobile sem mudar comunicação.","média","médio-alto","Compressão ou lazy-load podem degradar qualidade/CTA.","baseline por URL/dispositivo","lab 4G; CWV campo; comparação visual; smoke mobile","não piorar qualidade, acessibilidade ou CTA","reverter otimização por classe de ativo","melhoria repetida em laboratório e tendência de campo","regressão visual/CWV/erro de reprodução","guia de performance"
"AI-001","P2","T2","testar","3","B","robots.txt; política de crawlers","GPTBot e OAI-SearchBot estão permitidos, mas pesquisa e treinamento são decisões independentes.","robots permite ambos; documentação OpenAI separa pesquisa, treinamento e ação do usuário.","Registrar decisão explícita: manter OAI-SearchBot acessível; decidir separadamente GPTBot; testar regras e IPs; não tratar permissão como garantia.","não","não","não","não","não","não","Controle consciente de descoberta versus treinamento.","alta","baixo","Bloqueio amplo pode excluir pesquisa; permissão ampla pode contrariar política.","decisão do responsável; docs oficiais","fetch robots por user-agent; logs/IPs quando disponíveis","OAI-SearchBot não deve ser bloqueado por regra destinada a treinamento","restaurar regra anterior se bloquear pesquisa","regra corresponde à política documentada","crawler de pesquisa bloqueado ou decisão não autorizada","política de crawlers"
"AI-002","P1","T2/T5","testar","0 para verificação; 7 para implementação","E","schema; autoria; perfis; páginas médica/clínica","Entidade médica pode ser fortalecida, mas schema só deve refletir conteúdo e fontes verificáveis.","Há credenciais e páginas canônicas; conflito de resultado antigo e consistência por fonte exigem revisão.","Fase 0: criar ficha canônica somente leitura e validar CRM/RQE/endereço/vínculos/perfis; Fase 7: após aprovação textual, ajustar IDs/relações/sameAs/autoria/schema.","sim — apenas na Fase 7","sim — apenas na Fase 7","sim — apenas na Fase 7","não","não","sim — perfis/fontes se ajustados","Aumentar compreensão consistente sem inventar afirmações.","média-alta","alto","Schema divergente pode confundir buscadores e criar risco médico.","SEO-001; inventário de credenciais; revisão humana","validator; comparação conteúdo-schema; busca de entidade","nenhum dado não sustentado; nenhuma garantia de citação","remover apenas bloco novo e restaurar schema válido","validadores e consistência passam; monitorar 28/90d","erro, conflito de entidade ou afirmação não verificável","guia de entidade/schema"
"AI-003","P2","T3/T4","testar","4/6","C/D","referrer/UTM; LEADS; CRM","Sessões de IA não são atribuídas com taxonomia/evidência próprias.","Referrer não é materializado e Orgânico/Conteúdo agrega canais; ausência de referrer não prova direto.","Capturar referrer/UTM explícita, normalizar mecanismos e registrar confiança; manter desconhecido quando não houver evidência.","não","não","sim","sim","sim","não","Mensurar aquisição identificável por IA sem superatribuição.","alta","médio","Referrers mudam e podem ser removidos; classificação pode ficar obsoleta.","ATR-003/007","cenários 15–17; fixtures de domínios; ausência de referrer","nenhuma IA atribuída só por user-agent/ausência","desativar regra específica e preservar sinal bruto minimizado","precisão em fixtures e zero falso positivo na amostra","qualquer regra começa a rotular direto como IA","taxonomia de origem"
"COM-001","P0","T5/T6","observar","1 para contenção/decisão; 7 para eventual edição","A/F/G","lifting-facial; guia de preço; FAQ/schema; revisão Codame","Faixas públicas de procedimentos individualizados exigem decisão regulatória formal e já fazem parte do Norte.","Faixas são visíveis; a Exposição de Motivos traz cautela específica para preço dependente de diagnóstico/avaliação; o enquadramento concreto é N/D até Codame/jurídico.","Fase 1: congelar expansão/reuso, inventariar e obter parecer; Fase 7: somente com autorização, manter, contextualizar ou retirar de modo coerente em conteúdo/schema/bot.","sim, apenas na Fase 7","sim, apenas na Fase 7","sim, apenas na Fase 7","não","não","sim — parecer e futura edição","Evitar risco regulatório e contradição entre site, bot e estratégia.","alta para presença; média para enquadramento","médio","Remover sem análise pode prejudicar transparência/conversão e quebrar o Norte.","parecer; Norte; inventário","checklist regulatório e consistência cross-channel","nenhuma conclusão jurídica definitiva pela auditoria","nenhuma edição antes do parecer; rollback de conteúdo versionado","parecer aprova e todos os pontos ficam consistentes","parecer aponta não conformidade ou comunicação contraditória","Norte; política editorial; base do bot"
"COM-002","P0","T5/T6","observar","1 para contenção/inventário; 7 para eventual edição","A/F/G","17 páginas com galerias antes/depois","Conjuntos podem não cumprir integralmente contexto educativo, diversidade de casos e evoluções exigidas.","Há galerias com poucas imagens/múltiplas vistas; resultados insatisfatórios/complicações e contexto completo não foram comprovados em todas.","Fase 1: congelar expansão/reuso, inventariar casos/vistas/autorizações e obter parecer; Fase 7: retirar/adequar somente após aprovação.","sim, apenas na Fase 7","sim, apenas na Fase 7","sim — apenas na Fase 7 se ImageObject/FAQ afetados","não","não","sim — médica/Codame","Reduzir risco ético sem uso promocional enganoso.","média-alta","alto","Alteração pode expor paciente, reduzir contexto ou interpretar norma errado.","inventário de consentimentos; parecer","checklist por página/caso; revisão visual e jurídica","zero identificação indevida; nenhuma promessa de resultado","não ampliar; despublicar apenas ativo específico se risco confirmado; preservar backup restrito","100% casos aprovados/documentados","consentimento ausente, identificação ou orientação de retirada","registro de imagens e política editorial"
"COM-003","P0","T5/T6","observar","1 para contenção/parecer; 7 para eventual edição","A/F/G","páginas com imagem de mama/abdome e possível conteúdo sensível","Um mesmo ativo com exposição mamária aparece em múltiplas páginas; aviso/restrição etária não foi comprovado.","Revisão do repo encontrou reutilização do ativo; obrigação exata e mecanismo adequado dependem de fonte oficial/parecer.","Fase 1: congelar reutilização, confirmar norma/abrangência e inventariar rotas; Fase 7: se aplicável, criar gate/aviso acessível sem vazar tracking.","sim, apenas na Fase 7","sim, apenas na Fase 7","sim possivelmente na Fase 7","não","não","sim — parecer e futura edição","Conformidade e proteção de público sensível.","média","médio-alto","Gate mal feito pode bloquear crawler/acessibilidade ou persistir idade indevidamente.","citação oficial; COM-002; arquitetura de consentimento","navegação menor/maior, crawler, acessibilidade, cache e analytics","sem dado de idade identificável; conteúdo não vaza no preview","não ampliar; feature flag e remoção do gate se bloquear acesso legítimo","parecer e testes aprovados","bloqueio técnico, coleta indevida ou parecer contrário","política de conteúdo sensível"
"COM-004","P0","T5/T6","observar","1 para inventário; 7 para eventual ação pública","A/F/G","imagens/depoimentos e arquivo de autorizações","Autorizações expressas e anonimato não são demonstráveis pelo repositório.","Imagens potencialmente reidentificáveis existem; ausência de documentos no repo = N/D, não prova de ausência.","Fase 1: congelar expansão e criar inventário restrito de consentimento/finalidade/validade/revogação; Fase 7: agir publicamente apenas após parecer; nunca persistir documentos no repo público.","não inicialmente","não","sim — registro interno, não site","não","sim — sistema restrito se escolhido","sim — médica/jurídico","Provar governança e remover somente ativos sem base confirmada.","alta para lacuna documental no repo; N/D para operação","alto","Centralizar consentimentos no lugar errado aumenta exposição.","parecer; storage seguro; COM-002","100% dos ativos; teste de acesso/revogação","documentos nunca entram no artefato público","não ampliar; retirar acesso ao registro novo e manter backup seguro","100% ativos têm status verificável","ativo sem autorização ou acesso excessivo","registro de consentimentos e runbook de revogação"
"COM-005","P2","T5","testar","7","F","páginas e CTAs priorizados em 09-COMUNICACAO-E-CONVERSAO.md","Há oportunidades de clareza/continuidade, mas mudanças simultâneas impediriam atribuir efeito.","Diagnóstico por página separa intenção, objeção, prova e CTA; causalidade de conversão é N/D sem teste.","Priorizar uma hipótese por página; aprovar texto/CTA/layout; usar controle ou série interrompida; medir contato válido e etapas downstream.","sim","sim","sim se schema/metadata mudar","possível","não","não","Melhorar conversão útil sem otimizar apenas clique.","média","médio","Mudanças podem reduzir qualidade do lead ou contaminar mídia.","mensuração estável; aprovação médica","QA de texto/política/mobile; experimento isolado","sem promessa, medo ou garantia; qualidade não piora","restaurar conteúdo anterior por página","avanço downstream melhora com guardrails","piora relevante ou alerta ético","histórico editorial e plano de experimento"
"EXT-001","P2","T6","testar","8","G","Search Console; Bing Webmaster; IndexNow","Sinais técnicos externos e submissões devem seguir código publicado e validado.","Conectores/estado variam; plugin IndexNow existe, mas recibos/painel atuais são N/D; nenhuma ação externa foi autorizada.","Após correções publicadas e autorizadas, inspecionar sitemap/indexação; submeter somente canonical 200; registrar separado preparado, submetido, aceito, rastreado, indexado e citado, sem usar IndexNow como garantia.","não","não","não","não","não","sim","Acelerar descoberta técnica e monitorar erros.","média","baixo-médio","Submeter URL errada ou chamar aceite de indexação cria ruído.","B publicado; propriedade verificada","recibo 200/202; inspeção URL; logs de plugin; painel","somente canonical 200 indexável; cada estado permanece distinto","revogar chave/config e parar submissões","recibos válidos, URLs corretas e sem regressão","erros, abuso de quota ou URLs inválidas","runbook de indexação"
