"campo","estado_atual","significado","fonte","ponto_de_captura","normalizacao","armazenamento_temporario","coluna_canonica_atual","campo_crm_atual","valores_permitidos","exemplo_sintetico_sem_pii","fallback","validade","modelo_de_toque","confianca","risco_de_privacidade","sistemas_consumidores","evidencia","limitacao","prioridade","mudanca_proposta"
"journey_id","proposto","Identificador aleatório da jornada sem dados embutidos","endpoint first-party","primeiro toque/CTA","UUIDv4 ou 128 bits aleatórios; prefixo/versionamento","cookie/session/local conforme decisão de consentimento","N/D","N/D","J1_[base32]","J1_0123456789ABCDEFGHJKMNPQ","unknown","TTL aprovado; sugestão máxima 90 dias","liga eventos","N/D","baixo se aleatório e isolado","site; webhook; CRM; BI","não existe","exige storage/lookup server-side","P0","implementar somente após arquitetura/privacidade aprovadas"
"attribution_confidence","ausente no CRM","Grau de confiança da classificação","parser e evidência técnica","por toque/evento","enum fechado","evento","N/D","N/D","observed; partial; inferred; patient_reported; unknown","observed","unknown","vida do evento","por toque","N/D","baixo","CRM; atendimento; BI","fallback existe só em evento prospectivo","não acompanha o funil","P0","campo obrigatório com regra documentada"
"fallback_reason","parcial","Motivo técnico da atribuição incompleta","webhook","classificação","enum limitado","evento WhatsApp","N/D","N/D","meta_referral_without_mapped_code; meta_ad_id_without_campaign_mapping; google_click_without_campaign_code; site_source_without_campaign_code; direct_or_unknown_without_code; storage_lost; code_removed; invalid_code","code_removed","unknown_reason","vida do evento","por toque","alta nos eventos novos","baixo","CRM; observabilidade","attributionFallbackReason","16 linhas instrumentadas; sem backfill","P0","persistir no CRM e ampliar enums sem texto livre"
"first_touch_at","ausente","Timestamp da origem inicial","servidor/site","primeiro toque","ISO-8601 UTC","envelope","N/D","N/D","timestamp válido","2026-08-15T12:00:00Z","unknown","vida da oportunidade","first touch","N/D","baixo","CRM; BI","não existe","não confundir com data do primeiro WhatsApp","P0","imutável; backfill somente quando comprovável"
"last_identifiable_touch_at","ausente","Timestamp do último toque identificável","servidor/site/webhook","cada toque válido","ISO-8601 UTC","evento","N/D","N/D","timestamp válido","2026-08-16T12:00:00Z","unknown","vida da oportunidade","last touch","N/D","baixo","CRM; BI","não existe","não atualizar em acesso direto sem evidência","P1","atualizar append-only e derivar visão"
"last_non_direct_touch","ausente","Último toque não direto identificável","histórico de eventos","derivação","taxonomia+timestamp","evento","N/D","N/D","canal e campanha válidos","meta_ads:M26F02S","unknown","vida da oportunidade","last non-direct","N/D","baixo","CRM; BI","não existe","prioridade atual não equivale a esse conceito","P1","derivar cronologicamente"
"consent_state","parcial local","Escolha de mensuração no momento do evento","banner/localStorage","page load/clique","granted; denied; unset; revoked","localStorage/evento proposto","Consentimento para contato é outro conceito","N/D","measurement_granted; measurement_denied; unset; revoked","measurement_denied","unset","até alteração do usuário","por evento","alta no navegador","médio; preferência pessoal","site; auditoria","tracking-loader.js","não chega ao CRM e não deve ser confundido com contato","P1","registrar só estado técnico necessário, sem fingerprint"
"provider_event_id","existente sensível","ID do evento recebido do provedor","YCloud","webhook","string limitada","payload/ledgers","Event ID/Último Event ID","First/Last Event ID","ID provider interno","provider_event_opaque","unknown","conforme retenção operacional","deduplicação","alta","pseudônimo/reversível para o provedor; aparece em logs","webhook; LEADS; CRM","logs e schema","não deve sair em logs brutos","P0","guardar raw somente protegido; logar correlation_id HMAC/opaco"
"provider_message_id","existente sensível","ID da mensagem WhatsApp","YCloud/WhatsApp","webhook","string limitada","payload/ledgers","ID da transação inicialmente","N/D","wamid/provider ID","provider_message_opaque","unknown","conforme retenção operacional","deduplicação","alta","pseudônimo/reversível; indevido como transaction ID/log","webhook; LEADS","writeLead_ e logs","reutilizado historicamente em mídia","P0","separar transporte de marketing e restringir raw"
"google_transaction_id","existente misto","Chave de deduplicação da conversão offline","Apps Script","qualificação","LIV- + digest atual; formatos legados presentes","linha/ledger/import","ID da transação","N/D","LIV-[a-f0-9]{20}","LIV-0123456789abcdefabcd","não preparar sem ID opaco","permanente para dedupe da conversão","milestone","alta para novos; baixa para legado","P0 quando derivado de provider/telefone","IMPORT_GOOGLE_ADS; ledger; Google Ads","5 registros vivos: 2 atuais e 3 legados","aceitação externa N/D","P0","conter, reconciliar recibos e migrar somente itens não aceitos"
"google_conversion_name","existente","Nome exato da ação offline","config Apps Script","qualificação","valor canônico exato","linha/ledger/import","Nome da conversão","N/D","Lead qualificado GCLID","Lead qualificado GCLID","bloquear variação em linha elegível","enquanto ação existir","milestone","alta","baixo","Google Ads; LEADS","live e código","nome histórico menciona GCLID mas aceita braids","P1","manter exato; documentar sem renomear sem migração"
"google_event_state","existente insuficiente","Estado interno da conversão offline","Apps Script/consumer","preparo/importação","enum de máquina de estados","ledger","N/D","N/D","prepared; ready; sent; accepted; rejected; duplicate; attributed","ready","unknown","vida da conversão","milestone","alta para ready","baixo","ledger; saúde","cinco eventos ready","não há transições externas observadas","P0","expandir estados e transições monotônicas"
"google_receipt","ausente","Recibo externo por transação","Google Ads/Data Manager","após upload/processamento","status+timestamp+erro limitado","ledger","N/D","N/D","accepted; rejected; duplicate; pending; N/D","accepted","N/D","vida da conversão","milestone","N/D","baixo se sem payload sensível","ledger; saúde; BI","nenhum recibo observado","não inferir de 0 erros na planilha","P0","capturar e reconciliar por transaction ID opaco"
"patient_reported_origin","ausente canônico","Origem informada explicitamente pela paciente","atendimento humano/paciente","conversa ou cadastro","taxonomia separada; nunca substituir técnica","CRM","N/D","N/D","indicação; Instagram; Google; IA; retorno; outro; não sabe","indicação","N/D","vida da oportunidade","reported","N/D","médio; evitar texto livre e conteúdo clínico","CRM; BI","não há campo dedicado observado","não inferir de mensagem sem revisão","P2","campo estruturado com fonte, data e confiança"
"ai_referral_source","ausente","Origem por mecanismo de IA quando comprovada","referrer/UTM/informação explícita","primeiro toque","enum fechado","envelope/evento","N/D","N/D","chatgpt; copilot; perplexity; gemini; other_ai; unknown","chatgpt","unknown","janela de atribuição aprovada","first/last/reported","N/D","baixo/médio","CRM; BI","não capturado","ausência de referrer não prova acesso direto","P2","classificar só com evidência técnica ou informação explícita"
"legacy_attribution_code","existente leitura","Códigos históricos aceitos para continuidade","mensagem/linha histórica","webhook","LC##; LF##; BF## e famílias documentadas","evento/linha","Referência completa","Referência inicial","allowlist legado versionada","LF01","unknown_legacy","até fim da migração","first/current","alta quando presente","baixo","webhook; LEADS; CRM","matchLegacyGoogleCode","significado exato pode depender de documentação histórica","P1","dual-read; write somente contrato novo; mapa de migração auditável"
