"ID","grupo_prioridade","area","problema","evidencia","campanha_ativa_ou_pagina_afetada","mudanca_proposta","impacto_esperado","confianca","urgencia","esforco","risco","dependencias","responsavel_sugerido","metrica_principal","guardrail","duracao","criterio_para_manter","criterio_para_ampliar","criterio_para_reverter","necessidade_de_aprovacao"
"GAD-02","correções críticas","Google Ads","Configuração atual não tem janela comparável","Keywords, negativas e orçamento mudaram em 13/08","Seis campanhas Google ativas","Congelar novas mudanças materiais e abrir baseline pós-13/08","Preservar causalidade","alta","P0","baixo","Gasto ruim persistir sem intervenção","Monitoramento diário","Gestor Google Ads","termos, gasto, contatos e qualificados","Intervir só em erro/gasto anormal","7 dias preliminar; 14 dias decisão","janela limpa sem violar guardrails","Mudar uma variável por vez após decisão","Encerrar congelamento em caso de dano evidente","Sim — Daniel"
"GAD-03","correções críticas","Google Ads","Lifting cervical subiu 91,7% sem base qualificada","R$12 para R$23 em 13/08 via recomendação","S_BR_SP_LIFTING_CERVICAL","Confirmar autorização e regra; propor retorno a R$12 se não aprovado ou se qualidade falhar","Conter desperdício e restaurar governança","alta","P0","baixo","Nova alteração contamina janela","GAD-01 e owner da decisão","Daniel e gestor Google Ads","custo por contato/qualificado e termos","Nenhum novo aumento; registrar decisão","7 dias","manter R$23 somente com aprovação e qualidade","Ampliar só após mensuração saudável","Voltar a R$12 se não aprovado ou guardrail falhar","Sim — Daniel e Amanda"
"GAD-04","ganhos rápidos","Google Ads","Preferências de autoaplicação foram atualizadas sem direção visível","Histórico de 13/08 mostra quatro preferências atualizadas","Conta Google Ads","Confirmar que autoaplicações de lance/tCPA/valor estão desativadas","Evitar mudança silenciosa","alta","P0","baixo","Aplicação automática futura","Acesso ao painel de recomendações","Gestor Google Ads","número de autoaplicações não autorizadas","Zero aplicação sem log e aprovação","Imediato; revisão mensal","0 alterações não autorizadas","Não ampliar automação nesta fase","Desativar regra que reaparecer","Sim — Daniel"
"GAD-05","testes","Google Ads","Lifting usa Maximizar conversões com sinal degradado","9 cliques e 0 conversões no snapshot; ação requer atenção","S_BR_SP_LIFTING_FACIAL","Manter apenas como teste condicionado à correção da importação; sem tCPA","Preservar aprendizado sem aprisionar tráfego","média","P0","baixo","Supressão de tráfego ou otimização aleatória","GAD-01 e janela limpa","Gestor Google Ads","tráfego, qualificados aceitos e CPQL","Reverter a Max cliques se volume cair sem ganho de qualidade","Até 25/08 ou gatilho antecipado","sinal saudável e qualidade estável","Considerar tCPA só com 20–30 conversões/30 dias","Voltar a Max cliques se importação/volume falhar","Sim — Daniel e Amanda"
"GAD-06","ações que não devem ser executadas","Google Ads","Automação pode ampliar volume sem resultado","0 conversões no snapshot e configuração recém-alterada","Conta Google Ads","Não adotar tCPA, Performance Max, ampla, +5% ou escala por limitação de orçamento","Evitar gasto sem qualidade","alta","P0","baixo","Perder oportunidade real temporariamente","GAD-01, DAT-10 e capacidade","Daniel e Amanda","qualificados aceitos e consultas validadas","Nenhuma exceção por recomendação automática","Até cumprir gates","Manter proibição enquanto sinal for frágil","Liberar um teste por vez após gates","Reinstaurar proibição ao primeiro desvio","Sim — Daniel e Amanda"
"MAD-01","bloqueadores de mensuração","Meta Ads","Resultados de plataforma não fecham no CRM","Baseline Site 1.290 LPVs/0 código exato; 14/08 caminho técnico aprovado, coorte real ainda ausente","M26F01W e M26F02S","Observar a coorte publicada e reconciliar campanha, criativo, oportunidade, qualificado e consulta","Transformar proxy em custo de negócio","alta","P0","médio","Falsa correspondência ou PII","DAT-07, WEB-01 e CRM","Dados, CRM e mídia","cobertura e taxa por etapa","Deduplicar oportunidade; zero PII/PHI","14 dias + revisão semanal","diferença explicada e cobertura >=80%","Ampliar somente por CPQL/consulta","Interromper escala se cobertura cair","Sim — Daniel"
"MAD-02","correções críticas","Meta Ads","Campanhas terminam em 16/08 sem decisão reconciliada","Orçamentos totais quase consumidos e funil incompleto","M26F01W e M26F02S","Não estender automaticamente; registrar eventual extensão como nova mudança material","Evitar renovação cega","alta","P0","baixo","Perder entrega enquanto dados são corrigidos","MAD-01 e capacidade","Daniel e Amanda","qualificados, consultas e tempo de resposta","Não alterar simultaneamente objetivo, público e criativo","Antes de 16/08; ciclo de 14 dias se renovada","Continuar como aprendizagem explícita ou com qualidade aceitável","Ampliar após janela estável","Encerrar se não houver rastreabilidade","Sim — Daniel e Amanda"
"MAD-03","testes","Meta Ads","Não há comparação limpa dos criativos no WhatsApp","C01 lidera tráfego Site; recorte WA pós-edição não foi obtido por anúncio","Anúncios ativos C01H01 e C06H01","Comparar no mesmo objetivo, destino, público, orçamento e janela","Identificar hook que gera qualidade","média","P1","médio","Declarar vencedor por proxy","MAD-01 e utm_content íntegro","Mídia e operação","CPQL e consulta solicitada","CTR/LPV/conversa apenas diagnósticos; frequência <3","7–14 dias ou amostra mínima","melhora de qualidade sem fadiga","Escalar vencedor em degraus de 20%","Reverter se CPQL/qualidade piorar","Sim — Daniel e Amanda"
"MAD-04","correções críticas","Meta Ads","Pixel opera pelo navegador com diagnóstico ativo; CAPI não foi evidenciada","Dataset site da amanda: PageView ativo/873 no recorte; Meta Pixel; alguns dados do domínio bloqueados; tarefa CAPI em 0%","M26F02S e eventos Meta","Revisar categoria/restrição e testar somente eventos permitidos; documentar Test Events, event_id, duplicação, UTMs e payloads antes de ampliar tracking","Recuperar mensuração permitida sem expor dado sensível","alta","P0","médio","Vazamento de dado sensível ou nova restrição","Privacidade, site e acesso Events Manager","Engenharia, mídia e privacidade","status do diagnóstico, cobertura permitida e duplicação de evento","Consentimento correto; zero PII/PHI, conteúdo de conversa ou procedimento ligado a identificador","48 h + 7 dias","diagnóstico tratado e eventos documentados/deduplicados","Expandir somente eventos permitidos, úteis e aprovados","Desligar evento indevido ou integração que amplie exposição","Sim — Daniel e privacidade"
"MAD-05","ganhos rápidos","Meta Ads","Há um rascunho pendente não identificado","Interface mostrou Conferir e publicar (1)","Conta Meta Ads","Revisar conteúdo e escopo antes de publicar ou descartar em trabalho autorizado","Evitar publicação acidental em lote","alta","P0","baixo","Misturar rascunho com renovação/orçamento","Acesso Meta e owner","Daniel","zero rascunho desconhecido","Nunca publicar em lote sem revisão","Imediato","estado conhecido e decisão registrada","Não se aplica","Não publicar se conteúdo não for compreendido","Sim — Daniel"
"MAD-06","ações que não devem ser executadas","Meta Ads","Histórico inativo pode contaminar decisão de otoplastia e Site","Nenhuma campanha Meta de otoplastia estava ativa; Site sem código CRM","Meta Ads","Não reativar otoplastia antiga nem escalar Site por LPV; tratar eventual teste como campanha nova","Preservar escopo e causalidade","alta","P0","baixo","Atrasar teste potencialmente útil","Gates de dados e nova hipótese","Daniel e Amanda","contato válido e qualificado","Nenhum uso de desempenho inativo","Até cumprir gates","Manter bloqueio enquanto faltarem dados","Liberar teste prospectivo isolado","Parar se a nova campanha reproduzir perda de atribuição","Sim — Daniel e Amanda"
"WEB-01","bloqueadores de mensuração","Site e conversão","Funil observável termina no clique","Baseline: 49 whatsapp_click sem vínculo nativo; 14/08: 6/6 CTAs e sonda técnica aprovados","Todas as páginas e campanhas","Observar o código técnico publicado e conciliá-lo com oportunidade, qualificado e consulta","Medir resultado real","alta","P0","médio-alto","Privacidade e associação errada","DAT-07, CRM e WhatsApp","Engenharia de dados e operação","cobertura clique→oportunidade","Zero PII/PHI; duplicidade <2%; preservar consentimento","14 dias e >=30 desfechos","cobertura >=80% e duplicidade <2%","Expandir para valor só após financeiro confiável","Suspender importação se houver vazamento/duplicidade","Sim — Daniel, Amanda e privacidade"
"WEB-02","ganhos rápidos","Site e conversão","Evento principal GA4 não reconcilia com o evento","49 whatsapp_click versus 35 eventos principais","GA4 e todas as páginas","Auditar data de ativação, filtros, streams, send_to e duplicação","Comparabilidade consistente","alta","P0","baixo","Retrointerpretação enganosa","Acesso administrador GA4","Analytics e engenharia","proporção evento principal/evento após corte","Um único evento; preservar page_path e cta_location","7 dias","novos eventos classificados deterministicamente","Publicar dashboard após reconciliar","Reverter regra que duplicar eventos","Sim — Daniel"
"WEB-03","testes","Site e conversão","Lipo de papada tem tráfego sem clique observado","35 sessões, 37s e 0 evento principal","/lipo-de-papada/","Segmentar termo, dispositivo, origem, consentimento e QA mobile antes de testar uma variável","Localizar perda corrigível","média","P1","médio","Amostra pequena e múltiplas mudanças","GAD dados de termos e WEB-02","Growth e Web","sessões com clique, contato e qualificado","Uma variável; zero promessa clínica","28 dias ou 50 sessões por variante","melhora sem piora de qualidade","Expandir após confirmação downstream","Reverter se qualidade/UX piorar","Sim — Daniel e Amanda para conteúdo"
"WEB-04","correções críticas","Site e conversão","Rótulo de consentimento não corresponde ao comportamento","advancedConsentMode true, mas tags bloqueadas até aceite","tracking-loader.js e dashboards","Documentar como Consent Mode básico; avaliar avançado só com aprovação jurídica","Interpretação honesta da cobertura","alta","P1","baixo-médio","Envio indevido sem consentimento","Jurídico/privacidade e Analytics","Privacidade, Analytics e Web","taxa de consentimento e cobertura","Nenhuma tag fora da política aprovada","Documentação imediata; piloto 14 dias se aprovado","manter se conforme e auditável","Expandir somente após validação jurídica","Reverter ao primeiro envio indevido","Sim — Daniel, Amanda e privacidade"
"WEB-05","mudanças estruturais","Site e conversão","Não há CWV de campo e há mídia pesada","GSC sem dados de campo de Core Web Vitals; vídeo de otoplastia infantil 42,64 MB","Páginas não protegidas; exclui /lifting-facial/","Instrumentar CWV e reduzir preload/peso após medir","Melhor UX e menor custo de dados","média","P1","médio","Perda visual ou quebra de reprodução","Baseline de campo, Design e Web","Web, Design e Analytics","p75 LCP, INP, CLS e bytes","Sem tocar lifting; zero regressão de CTA","14 dias baseline + 28 dias","bytes caem e UX não piora","Expandir por template com evidência","Reverter asset que degradar qualidade","Sim — Daniel e marca"
"WEB-06","ganhos rápidos","Site e conversão","Débitos objetivos de estabilidade/acessibilidade","3 imagens sem dimensões e 1 vídeo sem pôster","/avaliacao-facial/ e rotas de otoplastia","Adicionar dimensões/pôster e validar teclado, zoom, contraste e leitor","Reduzir CLS e melhorar acessibilidade","alta","P2","baixo","Asset inadequado","Web e Design","Web e Design","zero mídia sem dimensões/pôster","Alt factual; sem alegação clínica nova","Uma sprint","QA aprovado mobile/desktop","Expandir checklist a templates","Reverter asset incompatível","Sim — Daniel; Amanda se alterar conteúdo visual"
"WEB-07","ganhos rápidos","Site e conversão","Landing report mistura canais e not set","14 sessões not set e títulos históricos","GA4 landing pages","Usar page_path, dimensões CTA, canal/campanha/dispositivo e explicar not set","Leitura por página acionável","alta","P2","baixo-médio","Alta cardinalidade","WEB-02 e acesso GA4","Analytics","cobertura page_path e not set","Sem texto livre de mensagem","14 dias","page_path >=99% e not set <1%","Adicionar cortes só se mudarem decisão","Remover dimensão sem utilidade","Sim — Daniel"
"WEB-08","ações que não devem ser executadas","Site e conversão","Mudanças na página de lifting quebrariam instrução e causalidade","Página protegida e Google recém-alterado","/lifting-facial/","Não alterar texto, layout, vídeo, CTA ou características nesta fase","Preservar decisão do usuário e baseline","alta","P0","baixo","Manter fricção não diagnosticada","Aprovação explícita futura","Daniel e Amanda","zero alteração e tracking estável","Qualquer mudança exige novo escopo e aprovação","Até nova decisão explícita","Manter enquanto proteção vigorar","Só liberar após autorização específica","Restaurar imediatamente se houver alteração acidental","Sim — Daniel e Amanda"
"SEO-01","correções críticas","SEO, local e IA","Domínio antigo divide a entidade","draamandaschroeder.com apareceu antes do .com.br na busca de marca","Domínios .com e .com.br","Inventariar controle/URLs/backlinks e consolidar com 301 página a página se o antigo não tiver função","Concentrar marca e autoridade","alta","P0","médio","Perder backlink, e-mail ou serviço Wix","Acesso ao registrador/Wix","Web/SEO e owner da marca","cobertura 301, 404 e busca de marca","Zero loop e preservação de serviços","8–12 semanas após preparo","domínio atual absorve marca e erros ficam próximos de zero","Expandir mapeamento conforme logs","Reverter somente mapeamento incorreto","Sim — Amanda e proprietária do domínio"
"SEO-02","correções críticas","SEO, local e IA","Páginas estratégicas não indexadas no último GSC","8 não indexadas; avaliação facial e guia facial detectados","URLs do Search Console","Exportar exemplos, classificar atual/legado/intencional e corrigir causa antes de recrawl","Aumentar cobertura útil","alta","P0","baixo-médio","Ressuscitar URL legada","Search Console e Web","SEO e Web","URLs estratégicas indexadas","Sitemap apenas canônicas 200; zero soft-404","6 semanas","estratégicas entram no índice","Ampliar linkagem quando houver valor","Remover do sitemap URL sem intenção","Sim — Daniel"
"SEO-03","ganhos rápidos","SEO, local e IA","Horários públicos divergem","GBP 05h–00h; site comunica equipe 07h–23h","Perfil LIV e site","Confirmar e rotular horário físico, consulta e WhatsApp; alinhar fontes","Evitar frustração e inconsistência local","alta","P0","baixo","Usuário chegar com clínica fechada","Operação LIV e admins","Operação, GBP e Web","zero divergência factual","Nunca chamar disponibilidade remota de porta aberta","7 dias; revisão trimestral","fontes refletem operação real","Adicionar horários especiais em feriados","Reverter valor que não corresponda à operação","Sim — direção LIV e Amanda"
"SEO-04","expansão","SEO, local e IA","Entidade individual da médica não aparece no gerenciador observado","Perfil LIV verificado; nenhum perfil Amanda nessa conta","Google Business Profile","Auditar duplicatas/elegibilidade e criar um único perfil individual somente se permitido","Ganhar intenção local da profissional","média","P1","médio","Suspensão por duplicata ou nome promocional","Sinalização, contato direto e ownership","SEO local e Amanda","perfil verificado e ações qualificadas","Nome real, categoria factual, nenhuma avaliação incentivada","Auditoria 1 semana; acompanhamento 12 semanas","perfil conforme e sem duplicata","Expandir serviços apenas factuais","Mesclar/contestar se duplicata surgir","Sim — Amanda e direção LIV"
"SEO-05","mudanças estruturais","SEO, local e IA","Grafo de entidade é consistente mas incompleto","sameAs só Instagram em 20 páginas; domínio antigo conflita","JSON-LD e perfis controlados","Manter IDs estáveis e ligar apenas fontes oficiais verificadas","Melhor compreensão de entidade","média-alta","P1","médio","Declarar vínculo não verificável","SEO-01 e lista oficial de perfis","SEO, Web e Amanda","zero erro de schema e consistência NAP/credenciais","Todo fato visível, atual e verificável","8 semanas","schema válido e fontes coerentes","Adicionar somente perfis controlados","Remover propriedade não comprovável","Sim — Amanda"
"SEO-06","ganhos rápidos","SEO, local e IA","Duas páginas têm linkagem fraca e títulos longos","Uma origem interna para duas rotas; sete títulos >65 caracteres","Páginas não protegidas","Adicionar links contextuais e revisar títulos longos fora de lifting","Melhor descoberta e snippet","média","P2","baixo","Canibalização ou título genérico","Revisão editorial/médica","SEO editorial e Amanda","impressões, CTR e links internos","Não tocar lifting; zero mudança clínica não revisada","6–8 semanas","indexação/CTR melhoram sem perda de intenção","Expandir por cluster","Reverter título que perder relevância","Sim — Amanda"
"SEO-07","ganhos rápidos","SEO, local e IA","Política GPTBot é apenas implícita","OAI-SearchBot explícito; GPTBot coberto por curinga","robots.txt","Manter OAI se descoberta desejada e definir GPTBot separadamente","Governança clara sem prometer citação","alta","P1","baixo","Bloquear bot errado","Decisão de conteúdo/privacidade","Marca, jurídico e Web","status de acesso e logs de crawler","Googlebot/OAI acessíveis se busca for objetivo","1 semana; revisão semestral","regra reflete decisão e testes passam","Não se aplica","Reverter imediatamente bloqueio indevido","Sim — Amanda"
"SEO-08","expansão","SEO, local e IA","Prova local pertence à clínica e tem volume pequeno","Perfil LIV 5,0/14 avaliações","GBP LIV e eventual perfil elegível","Criar rotina uniforme e ética de solicitação/resposta","Aumentar prova local com segurança","média","P1","baixo recorrente","Review gating ou exposição de relação clínica","Compliance e ownership dos perfis","Operação e Amanda","avaliações legítimas e tempo de resposta","Zero incentivo, gating ou PII/PHI","8 semanas","processo uniforme e seguro","Expandir somente com compliance","Suspender ao primeiro desvio","Sim — Amanda e direção LIV"
"SEO-09","expansão","SEO, local e IA","Mama/corpo têm pouco sinal próprio","Guia mama 18 impressões/0 clique e GA4 quase sem entradas","Clusters mama e corpo","Garantir indexação e medir qualidade antes de ampliar conteúdo/mídia","Crescimento incremental sem diluir face","média-baixa","P2","médio","Dispersar autoridade e orçamento","DAT-10 e revisão médica","SEO, Amanda e aquisição","consultas não-marca, contatos e qualificados","Não reduzir prioridade de face; preço sempre atual","12 semanas orgânicas","crescimento de consultas e qualidade","Expandir apenas com desfecho comercial","Remover páginas redundantes/canibalizantes","Sim — Daniel e Amanda"
"BOT-01","mudanças estruturais","Bot e WhatsApp","Health check não prova fluxo completo","Endpoint mostra configuração saudável, não execução","Webhook e filas","Criar teste sintético diário sem dado pessoal até persistência, classificação e handoff","Detectar quebra antes do paciente","alta","P1","médio","Enviar acidentalmente a número real","Ambiente/contato técnico controlado","Engenharia","ACK e latência por etapa","Nunca usar paciente real","30 dias","100% etapas aprovadas e alertas corretos","Adicionar agenda somente em sandbox","Desativar se atingir canal real","Sim — Daniel"
"BOT-02","correções críticas","Bot e WhatsApp","Mensagens podem ficar sem oportunidade/rota ou handoff de segurança","174 sem oportunidade/aba; amostra 15: 2 continuidades órfãs e 3 decisões de resposta/handoff inadequadas","Webhook, ledgers e Bruna","Exigir rota válida antes de resposta e fila explícita para ambiguidade ou sinal de urgência","Evitar perda de contexto, atribuição e segurança","alta","P0","médio","Bloquear pergunta legítima ou atrasar handoff necessário","Opportunity Store, regra de segurança e handoff","Engenharia e operação clínica","% novas entradas roteadas e % sinais de urgência em fila humana","Falhar fechado; zero resposta em rota ambígua; nenhuma orientação clínica automática","14 dias","rota >=99%, zero cruzamento e 100% dos sinais de urgência escalados","Expandir automação só após estabilidade e revisão clínica","Colocar em shadow se houver rota errada ou handoff insuficiente","Sim — Daniel e Amanda"
"BOT-03","correções críticas","Bot e WhatsApp","Painel humano usava fonte legada","Correção publicada em 14/08: 43 pessoas na fonte vigente e fórmula reconciliada","Painel do Bot","Manter ledger humano vigente e query de controle","Medir carga e handoff reais","alta","P0","baixo-médio","Inferir autoria sem eco","BOT-08 e query de controle","Dados e engenharia","pessoas com ação humana reconciliadas","Desconhecido é melhor que inferência","7 dias","painel fecha 100% com fonte — atingido no checkpoint","Monitorar junto ao SLA de BOT-04","Retirar métrica se voltar a divergir","Sim — Daniel"
"BOT-04","mudanças estruturais","Bot e WhatsApp","SLA publicado ainda tem cobertura insuficiente","Versão 83: 19 entradas; 4 respostas vinculadas; cobertura 21,1%; mediana 11,1 min úteis; p95 276,8 min; 0 handoffs tipados","WhatsApp e atendimento humano","Corrigir vínculo por Parent Event ID e autoria até cobertura >=95%; tipar handoff e fechamento","Gerir tempo de resposta com definição","alta","P0","médio","Transformar amostra incompleta em meta injusta","Definição publicada 08:00-20:00 e autoria confiável","Engenharia e operação","% conversas com SLA calculável","Zero significa ausência de evento tipado; não inferir ausência de necessidade","14 dias","cobertura >=95% e nenhum P0/P1 vencido","Usar metas só após 30 dias consistentes","Suspender expansão se autoria ou corte falhar","Sim — Daniel e operação"
"BOT-05","correções críticas","Bot e WhatsApp","Há jobs órfãos e anomalia de tentativas","8 órfãos; amostra confirmou 2 continuidades recentes órfãs, uma com attempts=170","Fila de classificação","Criar reaper e fila de exceção com limite de tentativa","Evitar atendimento perdido e loops","alta","P0","médio","Reprocessamento duplicado","Idempotência e alertas","Engenharia","jobs vencidos e idade p95","Limite de tentativas e handoff humano","14 dias","zero job >15 min sem estado final","Aumentar lote só após uma semana limpa","Colocar classificador em shadow se duplicar","Sim — Daniel"
"BOT-06","ganhos rápidos","Bot e WhatsApp","Exclusões de não lead contam como erro","10 exclusões esperadas misturadas a falhas","Fila e Painel do Bot","Separar decisão de negócio, revisão e falha técnica","Priorizar incidentes reais","alta","P1","baixo","Silenciar falha ao reclassificar","Taxonomia de estados","Engenharia e operação","erro técnico por classe","Toda falha real mantém alerta","7 dias","totais por classe reconciliam","Adicionar tendência após 30 dias","Reverter agrupamento que ocultar falha","Sim — Daniel"
"BOT-07","expansão","Bot e WhatsApp","Aprendizado supervisionado não fecha ciclo","0 respostas aprovadas e 0 usos","Respostas Aprovadas e revisões","Versionar aprovação, validade, uso e resultado","Reduzir repetição humana com segurança","média","P1","médio","Automatizar conteúdo clínico inadequado","Operação clínica e revisão","Amanda e engenharia","regras aprovadas usadas e resultados","Sem diagnóstico/prescrição; aprovação humana","30 dias","ao menos uma regra segura por tema recorrente","Expandir apenas baixo risco com resultado","Retirar regra desatualizada ou insegura","Sim — Amanda"
"BOT-08","mudanças estruturais","Bot e WhatsApp","Autoria de saídas é incompleta","149 mensagens humanas sem par e 86 saídas não conciliadas","Ledgers de mensagens e atendimento humano","Persistir source/autoria para toda saída e reconciliar eco","Distinguir bot, humano e desconhecido","alta","P1","médio","Atribuição falsa de autoria","Esquema de mensagem versionado","Engenharia","% saídas com autoria inequívoca","Unknown em vez de inferência","14 dias","cobertura >=98%","Liberar métricas de automação após estabilidade","Retirar métrica se eco divergir","Sim — Daniel"
