categoria,campanha,codigo,janela,metrica,valor,unidade,fonte,confianca,observacao
midia,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-15/2026-08-21,gasto,109.47,BRL,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_CIRURGIA_FACIAL,G26FACE,2026-08-08/2026-08-14,impressoes,597,contagem,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_CIRURGIA_FACIAL,G26FACE,2026-08-08/2026-08-14,cliques,28,contagem,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_CIRURGIA_FACIAL,G26FACE,2026-08-08/2026-08-14,gasto,53.85,BRL,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_CIRURGIA_FACIAL,G26FACE,2026-08-15/2026-08-21,impressoes,492,contagem,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_CIRURGIA_FACIAL,G26FACE,2026-08-15/2026-08-21,cliques,29,contagem,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_CIRURGIA_FACIAL,G26FACE,2026-08-15/2026-08-21,gasto,59.04,BRL,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_MARCA,G26MARCA,2026-08-08/2026-08-14,impressoes,6,contagem,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_MARCA,G26MARCA,2026-08-08/2026-08-14,cliques,0,contagem,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_MARCA,G26MARCA,2026-08-08/2026-08-14,gasto,0.00,BRL,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_MARCA,G26MARCA,2026-08-15/2026-08-21,impressoes,2,contagem,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_MARCA,G26MARCA,2026-08-15/2026-08-21,cliques,0,contagem,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_MARCA,G26MARCA,2026-08-15/2026-08-21,gasto,0.00,BRL,Google Ads ao vivo,alta,"Janela completa atual"
midia,ESCOPO_5,N/D,2026-08-08/2026-08-14,cliques,278,contagem,cálculo sobre Google Ads,alta,"Exclui G26LIFT"
midia,ESCOPO_5,N/D,2026-08-08/2026-08-14,gasto,439.85,BRL,cálculo sobre Google Ads,alta,"Exclui G26LIFT"
midia,ESCOPO_5,N/D,2026-08-15/2026-08-21,cliques,264,contagem,cálculo sobre Google Ads,alta,"Exclui G26LIFT"
midia,ESCOPO_5,N/D,2026-08-15/2026-08-21,gasto,422.56,BRL,cálculo sobre Google Ads,alta,"Exclui G26LIFT"
funil,GOOGLE_TOTAL,N/D,2026-08-15/2026-08-21,contatos_identificados,7,contagem,Agregados sem PII,alta,"Inclui origem Google não atribuível a campanha"
funil,GOOGLE_TOTAL,N/D,2026-08-15/2026-08-21,campanha_canonica,2,contagem,Agregados sem PII,alta,"Ambos G26OTO"
funil,GOOGLE_TOTAL,N/D,2026-08-15/2026-08-21,campanha_desconhecida,5,contagem,Agregados sem PII,alta,"Não redistribuir por inferência"
funil,GOOGLE_TOTAL,N/D,2026-08-15/2026-08-21,classificados,0,contagem,Agregados sem PII,alta,"Fase atual"
funil,GOOGLE_TOTAL,N/D,2026-08-15/2026-08-21,validos,0,contagem,Agregados sem PII,alta,"Fase atual"
funil,GOOGLE_TOTAL,N/D,2026-08-15/2026-08-21,qualificados_mais,0,contagem,Agregados sem PII,alta,"Fase atual"
funil,GOOGLE_TOTAL,N/D,2026-07-23/2026-08-21,contatos_identificados,17,contagem,Agregados sem PII,alta,"Janela 30 dias"
funil,GOOGLE_TOTAL,N/D,2026-07-23/2026-08-21,campanha_canonica,2,contagem,Agregados sem PII,alta,"Ambos G26OTO"
funil,GOOGLE_TOTAL,N/D,2026-07-23/2026-08-21,campanha_desconhecida,15,contagem,Agregados sem PII,alta,"Não redistribuir por inferência"
funil,GOOGLE_TOTAL,N/D,2026-07-23/2026-08-21,classificados,5,contagem,Agregados sem PII,alta,"Fase atual"
funil,GOOGLE_TOTAL,N/D,2026-07-23/2026-08-21,validos,4,contagem,Agregados sem PII,alta,"Fase atual"
funil,GOOGLE_TOTAL,N/D,2026-07-23/2026-08-21,qualificados_mais,4,contagem,Agregados sem PII,alta,"Fase atual"
funil,GOOGLE_TOTAL,N/D,2026-05-24/2026-08-21,contatos_identificados,24,contagem,Agregados sem PII,alta,"Janela 90 dias"
funil,GOOGLE_TOTAL,N/D,2026-05-24/2026-08-21,campanha_canonica,2,contagem,Agregados sem PII,alta,"Ambos G26OTO"
funil,GOOGLE_TOTAL,N/D,2026-05-24/2026-08-21,campanha_desconhecida,22,contagem,Agregados sem PII,alta,"Não redistribuir por inferência"
funil,GOOGLE_TOTAL,N/D,2026-05-24/2026-08-21,classificados,8,contagem,Agregados sem PII,alta,"Fase atual"
funil,GOOGLE_TOTAL,N/D,2026-05-24/2026-08-21,validos,7,contagem,Agregados sem PII,alta,"Fase atual"
funil,GOOGLE_TOTAL,N/D,2026-05-24/2026-08-21,qualificados_mais,7,contagem,Agregados sem PII,alta,"Fase atual"
conversao,Lead qualificado GCLID,N/D,2026-07-23/2026-08-21,todas_as_conversoes,3,contagem,Google Ads ao vivo,média,"Ação principal; não equivale ao agregado do funil"
conversao,Lead qualificado GCLID,N/D,2026-08-22,status,Requer atenção,texto,Google Ads ao vivo,alta,"Sem conversões recentes; última em 12/08/2026"
conversao,Ajustes Google Ads,N/D,2026-08-22,retracoes_aplicadas,0,contagem,Google Ads uploads,alta,"2 linhas falharam porque a conversão não existe"
termo,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-07-23/2026-08-21,blefaroplastia_preco_popular_cliques,12,contagem,Google Ads termos,alta,"R$ 16,00 na leitura final; frase preço popular já bloqueada em lista compartilhada"
termo,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-07-23/2026-08-21,blefaroplastia_preco_popular_gasto,16.00,BRL,Google Ads termos,alta,"Downstream por termo N/D; negativa exata nova seria redundante"
termo,S_BR_SP_OTOPLASTIA,G26OTO,2026-07-23/2026-08-21,projeto_orelhinha_valor_cliques,2,contagem,Google Ads termos,alta,"R$ 4,19; frase projeto orelhinha já bloqueada em lista compartilhada"
termo,S_BR_SP_OTOPLASTIA,G26OTO,2026-07-23/2026-08-21,projeto_orelhinha_valor_gasto,4.19,BRL,Google Ads termos,alta,"Intenção e oferta ainda N/D; lista também alcança G26LIFT"
rsa,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-22,duplicidade_titulo,1,ocorrencia,Google Ads ao vivo,alta,"Anúncio 816612405034; não alterado"
url,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-08-22,url_final,/blefaroplastia/,texto,Google Ads e HTTP,alta,"HTTP 200; 0 redirect"
url,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-22,url_final,/lifting-cervical/ e /lipo-de-papada/?origem=LPP01,texto,Google Ads e HTTP,alta,"Ambas HTTP 200; 0 redirect"
url,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-22,url_final,/otoplastia-adulto/ e /otoplastia-infantil/,texto,Google Ads e HTTP,alta,"HTTP 200; 0 redirect"
url,S_BR_SP_CIRURGIA_FACIAL,G26FACE,2026-08-22,url_final,/avaliacao-facial/,texto,Google Ads e HTTP,alta,"HTTP 200; 0 redirect; cirurgia-facial/sao-paulo é apenas display path"
url,S_BR_SP_MARCA,G26MARCA,2026-08-22,url_final,/,texto,Google Ads e HTTP,alta,"HTTP 200; 0 redirect"
mudanca,ESCOPO_5,N/D,2026-08-22,entidades_alteradas,0,contagem,pós-voo,alta,"Nenhuma mudança de entrega publicada"
midia,ESCOPO_5,N/D,2026-08-22,cliques_dia_atual,11,contagem,Google Ads ao vivo,alta,"Saúde apenas; não misturado às janelas completas"
midia,ESCOPO_5,N/D,2026-08-22,gasto_dia_atual,16.64,BRL,Google Ads ao vivo,alta,"Saúde apenas; não misturado às janelas completas"
funil,GOOGLE_TOTAL,N/D,2026-08-08/2026-08-14,coorte_funil,N/D,texto,Agregados sem PII,insuficiente,"Período anterior não disponibilizado; não tratar como zero"
funil,GOOGLE_TOTAL,N/D,2026-08-15/2026-08-21,consultas_agendadas_mais,0,contagem,Agregados sem PII,média,"Agregado total; por campanha N/D"
funil,GOOGLE_TOTAL,N/D,2026-08-15/2026-08-21,consultas_realizadas_mais,0,contagem,Agregados sem PII,média,"Agregado total; por campanha N/D"
conversao,Ajustes Google Ads,N/D,2026-08-22,linhas_importacao_principal,5,contagem,Google Ads uploads,alta,"Arquivo concluído; 0 erros de arquivo; não prova atribuição"
conversao,Ajustes Google Ads,N/D,2026-08-22,erros_arquivo_principal,0,contagem,Google Ads uploads,alta,"Correspondência individual permanece N/D"
conversao,Clique no WhatsApp - proxy temporária,N/D,2026-08-22,todas_as_conversoes,40,contagem,Google Ads ao vivo,alta,"Secundária; fora das metas; não é lead qualificado"
conversao,Leads qualificados (Meta padrão da conta),N/D,2026-08-22,status,Inativa,texto,Google Ads ao vivo,alta,"Secundária; fora das metas; 0"
conversao,Smart campaign map clicks to call,N/D,2026-08-22,status,Sem conversão recente,texto,Google Ads ao vivo,alta,"Primária; fora das metas; 0"
conversao,Smart campaign ad clicks to call,N/D,2026-08-22,status,Sem conversão recente,texto,Google Ads ao vivo,alta,"Primária; incluída na configuração da conta, mas fora do objetivo personalizado das cinco campanhas; 0"
conversao,Ver rota,N/D,2026-08-22,status,Sem conversão recente,texto,Google Ads ao vivo,alta,"Primária; fora das metas; 0"
negativa,Exclusões comerciais — agosto 2026,N/D,2026-08-22,shared_set_id,12185923096,id,Google Ads ao vivo,alta,"10 negativas; aplicada a BLEF CERV OTO FACE e LIFT; não a MARCA"
negativa,Exclusões comerciais — agosto 2026,N/D,2026-08-22,preco_popular,frase,texto,Google Ads ao vivo,alta,"Já bloqueada; nenhuma negativa BLEF nova criada"
negativa,Exclusões comerciais — agosto 2026,N/D,2026-08-22,projeto_orelhinha,frase,texto,Google Ads ao vivo,alta,"Revisão governada necessária; lista alcança G26LIFT"
negativa,NEG_FACE_SP_2026,N/D,2026-08-22,shared_set_id,12152813933,id,Google Ads ao vivo,alta,"79 negativas; aplicada a BLEF CERV FACE MARCA e LIFT; não a OTO"
termo,ESCOPO_5,N/D,2026-07-23/2026-08-21,linhas_sensiveis_filtradas,42,contagem,Google Ads termos,alta,"16 cliques; R$ 22,59; 0 conversões exibidas"
termo,S_BR_SP_MARCA,G26MARCA,2026-07-23/2026-08-21,termos_significativos,N/D,texto,Google Ads termos,insuficiente,"Interface informou ausência de termos significativos; não tratar como zero"
historico,CONTA,N/D,2026-07-23/2026-08-22,ultima_mudanca_visivel,2026-08-15 20:47,texto,Google Ads ao vivo,média,"Regra criada; parâmetros personalizados também em 15/08"
historico,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-08-16/2026-08-21,metricas_pos_mudanca,N/D,texto,Google Ads ao vivo,insuficiente,"Janela delimitada após parâmetro de 15/08; métricas isoladas não exportadas"
site,SITE_LOCAL,N/D,2026-08-22,rotas_validas,44/44,proporcao,site:check,alta,"Rotas locais esperadas como 200 self-canonical e indexáveis; não são 44 GETs públicos"
site,ESCOPO_5,N/D,2026-08-22,paginas_publicas_http,8/8,proporcao,HTTP ao vivo,alta,"Sete URLs finais em escopo mais /lifting-facial/ protegida; HTTP 200; 0 redirect"
site,ESCOPO_5,N/D,2026-08-22,testes_cta_tracking,22/22,proporcao,testes locais,alta,"CTA atribuição genérica e click IDs; _ag confirmado por inspeção estática; downstream N/D"
site,ESCOPO_5,N/D,2026-08-22,testes_tecnicos_oto_rodape,15/16,proporcao,testes locais,média,"Falha preexistente na página protegida de preço: versão 20260822-price-range-1 vs 20260815-attribution4"
site,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-22,risco_midia_adulto,1004716,bytes,inspeção técnica,média,"JPEG high sem srcset; proposta de site não aplicada"
site,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-22,risco_midia_infantil,44713450,bytes,inspeção técnica,média,"Vídeo com range cache immutable e preload=metadata; transferência inicial integral não medida"
tracking,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-08-22,codigo_grupo,ag_blefaroplastia,texto,Google Ads ao vivo,alta,"_ag revalidado"
tracking,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-22,codigo_grupo_cervical,ag_lifting_cervical,texto,Google Ads ao vivo,alta,"AG_CERVICOPLASTIA"
tracking,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-22,codigo_grupo_lipo,ag_lipo_papada,texto,Google Ads ao vivo,alta,"AG_LIPO_PAPADA"
tracking,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-22,codigo_grupo_adulto,ag_otoplastia_adulto,texto,Google Ads ao vivo,alta,"Grupo adulto"
tracking,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-22,codigo_grupo_infantil,ag_otoplastia_infantil,texto,Google Ads ao vivo,alta,"AG_OTOPLASTIA_INFANTIL"
tracking,S_BR_SP_CIRURGIA_FACIAL,G26FACE,2026-08-22,codigo_grupo,ag_cirurgia_facial,texto,Google Ads ao vivo,alta,"_ag revalidado"
tracking,S_BR_SP_MARCA,G26MARCA,2026-08-22,codigo_grupo,ag_marca,texto,Google Ads ao vivo,alta,"_ag revalidado"
recurso,ESCOPO_5,N/D,2026-08-22,snippets_destaques_combinacoes,N/D,texto,Google Ads ao vivo,insuficiente,"Inventário completo e resultado por ativo não persistidos; não tratar como zero"
tracking,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-08-22,anuncio_816479308278_antes,"_camp=g26f03;_ag=ag_blefaroplastia",texto,Google Ads ao vivo,alta,"Override factual no anúncio; corrigido serialmente"
tracking,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-08-22,anuncio_816479308278_depois,heranca_canonica,texto,Google Ads pós-voo,alta,"Sem override no anúncio; herda G26BLEF e ag_blefaroplastia"
tracking,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-22,anuncio_816477682074_antes,"_camp=g26f02;_ag=ag_lifting_cervical",texto,Google Ads ao vivo,alta,"Override factual no anúncio; corrigido serialmente"
tracking,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-22,anuncio_816477682074_depois,heranca_canonica,texto,Google Ads pós-voo,alta,"Sem override no anúncio; herda G26CERV e ag_lifting_cervical"
tracking,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-22,anuncio_817459414056_antes,"_camp=g26f02;_ag=ag_lifting_cervical",texto,Google Ads ao vivo,alta,"Override de campanha e grupo no anúncio AG_LIPO_PAPADA; corrigido serialmente"
tracking,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-22,anuncio_817459414056_depois,heranca_canonica,texto,Google Ads pós-voo,alta,"Sem override no anúncio; herda G26CERV e ag_lipo_papada"
tracking,S_BR_SP_CIRURGIA_FACIAL,G26FACE,2026-08-22,anuncio_816580854431_antes,"_camp=g26f00;_ag=ag_cirurgia_facial_sp",texto,Google Ads ao vivo,alta,"Override factual no anúncio; corrigido serialmente"
tracking,S_BR_SP_CIRURGIA_FACIAL,G26FACE,2026-08-22,anuncio_816580854431_depois,heranca_canonica,texto,Google Ads pós-voo,alta,"Sem override no anúncio; herda G26FACE e ag_cirurgia_facial"
tracking,S_BR_SP_MARCA,G26MARCA,2026-08-22,anuncio_816570038294_antes,"_camp=g26b01;_ag=ag_marca",texto,Google Ads ao vivo,alta,"Override factual no anúncio; corrigido serialmente"
tracking,S_BR_SP_MARCA,G26MARCA,2026-08-22,anuncio_816570038294_depois,heranca_canonica,texto,Google Ads pós-voo,alta,"Sem override no anúncio; herda G26MARCA e ag_marca"
tracking,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-22,escritas_da_tarefa,0,contagem,Google Ads pós-voo,alta,"Adulto herdado; infantil preservou apenas ag_otoplastia_infantil"
tracking,S_BR_SP_LIFTING_FACIAL,G26LIFT,2026-08-22,escritas_da_tarefa,0,contagem,Google Ads pós-voo,alta,"Campanha protegida atualizada contra o servidor sem edição"
orcamento,CONTA,N/D,2026-08-22,total_antes_depois,87/87,R$/dia,Google Ads pós-voo,alta,"BLEF 23; CERV 12; OTO 15; FACE 8; MARCA 5; LIFT protegida 24"
operacao,CLASSIFICACAO,N/D,2026-08-22,pending_running_failed,0/0/0,contagem,LEADS sem PII,alta,"Fila viva processada; fase Novo sem evidência pessoal não é falha técnica"
operacao,CONSULTAS_CALENDAR,N/D,2026-08-22,taxa_erro_trigger,0%,percentual,Apps Script ao vivo,alta,"sincronizarConsultasAoEditar ativo; última execução observada 11:36:38"
operacao,AGREGADO_GOOGLE,N/D,2026-08-22,ultima_execucao,08:08:36,texto,Apps Script ao vivo,alta,"Saída sem PII gerada às 08:08:40; histórico agregado de erro 16.67% não afetou a execução do dia"
teste,ATRIBUICAO_E_FUNIL,N/D,2026-08-22,suite_focal,143/143,proporcao,testes locais,alta,"Jornada; Opportunity; classificação; importação offline; Consultas e Calendar"
teste,SITE_LOCAL,N/D,2026-08-22,site_check,44/44,proporcao,testes locais,alta,"Nenhuma alteração de conteúdo do site"
historico,CONTA,N/D,2026-08-22,escritas_22_08,N/D,texto,Google Ads ao vivo,insuficiente,"Relatório informa que não é gerado em tempo real; estado efetivo confirmado por Atualizar e reabertura de cada entidade"
